region,sector,x_in,dir_losses,x_out,total_losses,ind_losses
Buenos_Aires,A,281544.3358764475,-36600.763663938174,244943.5722124946,-36600.76366395291,-1.4733814168721437e-08
Buenos_Aires,B,11622.094753552976,-0.0,11574.64863359237,-47.446119960606666,-47.446119960606666
Buenos_Aires,C,57885.852229674776,-0.0,57744.045873553216,-141.80635612156038,-141.80635612156038
Buenos_Aires,D,1651106.3237602934,-0.0,1643280.7476289435,-7825.576131349895,-7825.576131349895
Buenos_Aires,E,112977.55928796186,-0.0,112640.51170860905,-337.0475793528167,-337.0475793528167
Buenos_Aires,F,318155.2739026419,-0.0,317736.91532465594,-418.3585779859568,-418.3585779859568
Buenos_Aires,G,470456.25912251987,-0.0,469356.4775657764,-1099.7815567434882,-1099.7815567434882
Buenos_Aires,H,158439.3574376471,-0.0,158399.7034910798,-39.65394656729768,-39.65394656729768
Buenos_Aires,I,370534.14052509074,-0.0,369603.48728418606,-930.6532409046777,-930.6532409046777
Buenos_Aires,J,265359.64377297176,-0.0,264733.0599776139,-626.5837953578448,-626.5837953578448
Buenos_Aires,K,396640.314761033,-0.0,396516.7773097008,-123.53745133220218,-123.53745133220218
Buenos_Aires,L,336963.45190743543,-0.0,336838.42465769575,-125.02724973967997,-125.02724973967997
Buenos_Aires,M,182251.2705331422,-0.0,182238.26703763727,-13.003495504934108,-13.003495504934108
Buenos_Aires,N,196036.22913064077,-0.0,196018.79793389075,-17.431196750025265,-17.431196750025265
Buenos_Aires,O,71683.23015622351,-0.0,71667.63426743314,-15.595888790368917,-15.595888790368917
Buenos_Aires,P,187295.7434864967,-0.0,187009.0415626784,-286.7019238182984,-286.7019238182984
Catamarca,A,81.11630428838151,25.146054329398275,63.94861614078785,-17.167688147593665,-42.31374247699194
Catamarca,B,4.412791724832903,-0.0,4.411748722424791,-0.0010430024081120592,-0.0010430024081120592
Catamarca,C,1073.914151496732,-0.0,1073.7341014638405,-0.18005003289158594,-0.18005003289158594
Catamarca,D,787.9996775608522,-0.0,787.7549414672563,-0.24473609359586135,-0.24473609359586135
Catamarca,E,48.01376609042512,-0.0,48.007809674695146,-0.005956415729976072,-0.005956415729976072
Catamarca,F,229.76060510900277,-0.0,229.74512181493273,-0.015483294070037346,-0.015483294070037346
Catamarca,G,282.2504170616213,-0.0,282.22349834434203,-0.02691871727927264,-0.02691871727927264
Catamarca,H,95.22198520578569,-0.0,95.22118079131758,-0.0008044144681065291,-0.0008044144681065291
Catamarca,I,240.6595507324929,-0.0,240.63211777467797,-0.02743295781493771,-0.02743295781493771
Catamarca,J,159.34428408970737,-0.0,159.3195297252284,-0.02475436447898005,-0.02475436447898005
Catamarca,K,231.24599240611883,-0.0,231.245457770278,-0.0005346358408360175,-0.0005346358408360175
Catamarca,L,206.35337335685136,-0.0,206.35020486530837,-0.003168491542993479,-0.003168491542993479
Catamarca,M,121.24115639534138,-0.0,121.24102557402131,-0.00013082132007014025,-0.00013082132007014025
Catamarca,N,122.17857994094811,-0.0,122.17812277703473,-0.0004571639133814642,-0.0004571639133814642
Catamarca,O,42.07270626310337,-0.0,42.07240946608954,-0.0002967970138314513,-0.0002967970138314513
Catamarca,P,181.38858550810806,-0.0,181.3748026446707,-0.013782863437370452,-0.013782863437370452
Chaco,A,765.7873600946689,-99.55235681230695,84.17035078003889,-681.61700931463,-582.064652502323
Chaco,B,11.884867143492263,-0.0,11.877746743684181,-0.007120399808082212,-0.007120399808082212
Chaco,C,58.276595886805886,-0.0,58.274557641821595,-0.002038244984291282,-0.002038244984291282
Chaco,D,1677.6222356017363,-0.0,1676.3646299175043,-1.2576056842319758,-1.2576056842319758
Chaco,E,148.03479464535062,-0.0,147.98445298765765,-0.050341657692968056,-0.050341657692968056
Chaco,F,540.570047922711,-0.0,540.432019813225,-0.13802810948595834,-0.13802810948595834
Chaco,G,757.0679817667807,-0.0,756.8095360482631,-0.2584457185175779,-0.2584457185175779
Chaco,H,246.15421299173846,-0.0,246.1459761014842,-0.008236890254266882,-0.008236890254266882
Chaco,I,600.9987358094611,-0.0,600.830634477744,-0.16810133171713915,-0.16810133171713915
Chaco,J,456.4632541159914,-0.0,456.3527334879117,-0.11052062807971197,-0.11052062807971197
Chaco,K,645.024522400751,-0.0,645.0202606828723,-0.004261717878762283,-0.004261717878762283
Chaco,L,536.9739550117362,-0.0,536.9392611926218,-0.03469381911440905,-0.03469381911440905
Chaco,M,288.2458684928452,-0.0,288.24491565445066,-0.0009528383945394125,-0.0009528383945394125
Chaco,N,342.50951864698004,-0.0,342.5043293165934,-0.005189330386656366,-0.005189330386656366
Chaco,O,117.43196435679411,-0.0,117.42872511886601,-0.0032392379280992145,-0.0032392379280992145
Chaco,P,329.0869088495454,-0.0,329.01779272170745,-0.06911612783795817,-0.06911612783795817
Chubut,A,385.12019246489916,-0.0,71.50408947401651,-313.61610299088267,-313.61610299088267
Chubut,B,148.52621215350896,-0.0,148.42152217716452,-0.10468997634444577,-0.10468997634444577
Chubut,C,10577.478971271243,-0.0,10567.653604534,-9.825366737242803,-9.825366737242803
Chubut,D,5433.494864534526,-0.0,5428.813820571363,-4.681043963162665,-4.681043963162665
Chubut,E,666.7979332168553,-0.0,666.5015462386957,-0.29638697815960313,-0.29638697815960313
Chubut,F,1737.1526523170016,-0.0,1736.7184636963284,-0.4341886206732397,-0.4341886206732397
Chubut,G,1782.1797921502277,-0.0,1781.5558786857139,-0.623913464513862,-0.623913464513862
Chubut,H,652.2349943015608,-0.0,652.2136838688556,-0.021310432705263338,-0.021310432705263338
Chubut,I,1697.198518361426,-0.0,1696.6251698244882,-0.5733485369378286,-0.5733485369378286
Chubut,J,1167.917446026906,-0.0,1167.5024770631953,-0.41496896371063485,-0.41496896371063485
Chubut,K,1589.3338348758714,-0.0,1589.317324193944,-0.01651068192745697,-0.01651068192745697
Chubut,L,1404.0961663393261,-0.0,1404.010858427157,-0.08530791216912803,-0.08530791216912803
Chubut,M,792.2694375250799,-0.0,792.2645674732095,-0.004870051870398129,-0.004870051870398129
Chubut,N,788.6825698931219,-0.0,788.6710232560489,-0.011546637073024613,-0.011546637073024613
Chubut,O,283.9350014980316,-0.0,283.92726002071174,-0.007741477319882506,-0.007741477319882506
Chubut,P,1144.9220048245818,-0.0,1144.634103680378,-0.2879011442037154,-0.2879011442037154
Ciudad_de_Buenos_Aires,A,23772.522609109325,-0.0,4499.107718171059,-19273.414890938264,-19273.414890938264
Ciudad_de_Buenos_Aires,B,2493.142102385843,-0.0,2487.7793999517535,-5.362702434089442,-5.362702434089442
Ciudad_de_Buenos_Aires,C,28467.115469644377,-0.0,28405.880195983093,-61.23527366128474,-61.23527366128474
Ciudad_de_Buenos_Aires,D,396938.0212627034,-0.0,395940.53012711497,-997.4911355884396,-997.4911355884396
Ciudad_de_Buenos_Aires,E,35748.96753988195,-0.0,35684.60430111193,-64.36323877001996,-64.36323877001996
Ciudad_de_Buenos_Aires,F,104510.93877151674,-0.0,104434.74321764316,-76.19555387357832,-76.19555387357832
Ciudad_de_Buenos_Aires,G,145569.44249716567,-0.0,145398.36515390474,-171.0773432609276,-171.0773432609276
Ciudad_de_Buenos_Aires,H,58464.6644968676,-0.0,58456.69792952147,-7.966567346127704,-7.966567346127704
