region,sector,x_in,dir_losses,x_out,total_losses,ind_losses
Buenos_Aires,A,591476.0420850337,-76891.88547105438,514584.1566139623,-76891.88547107141,-1.7025740817189217e-08
Buenos_Aires,B,26213.578367908285,-0.0,26010.384358653188,-203.19400925509763,-203.19400925509763
Buenos_Aires,C,149018.73424611878,-0.0,148407.97098133416,-610.7632647846185,-610.7632647846185
Buenos_Aires,D,2583707.3167851097,-0.0,2561948.2270606584,-21759.089724451303,-21759.089724451303
Buenos_Aires,E,186248.710545303,-0.0,185201.1197892546,-1047.5907560484193,-1047.5907560484193
Buenos_Aires,F,384758.75443753024,-0.0,384570.4640452272,-188.29039230302442,-188.29039230302442
Buenos_Aires,G,956985.4256885648,-0.0,954011.886348741,-2973.5393398237647,-2973.5393398237647
Buenos_Aires,H,257997.5328669864,-0.0,257379.8596440541,-617.6732229323243,-617.6732229323243
Buenos_Aires,I,708130.6232130659,-0.0,703259.4695772401,-4871.153635825845,-4871.153635825845
Buenos_Aires,J,283471.8966497792,-0.0,282683.1809909042,-788.7156588750076,-788.7156588750076
Buenos_Aires,K,635768.5844528344,-0.0,634622.3794496991,-1146.205003135372,-1146.205003135372
Buenos_Aires,L,535576.465147025,-0.0,533900.5932404607,-1675.8719065642217,-1675.8719065642217
Buenos_Aires,M,357724.74900722597,-0.0,357716.06933151034,-8.679675715626217,-8.679675715626217
Buenos_Aires,N,392183.3442555487,-0.0,391817.5682372719,-365.77601827681065,-365.77601827681065
Buenos_Aires,O,251157.83919750506,-0.0,250617.56137790135,-540.2778196037107,-540.2778196037107
Buenos_Aires,P,34990.98931122867,-0.0,34882.61657314709,-108.37273808158352,-108.37273808158352
Catamarca,A,213.52982488939534,66.19424571571257,173.13787158940733,-40.39195329998802,-106.58619901570059
Catamarca,B,5.043896425624354,-0.0,5.040807007159208,-0.0030894184651453216,-0.0030894184651453216
Catamarca,C,3263.37838681375,-0.0,3262.269997783679,-1.1083890300706116,-1.1083890300706116
Catamarca,D,1595.0796130106623,-0.0,1593.6317948425724,-1.4478181680899525,-1.4478181680899525
Catamarca,E,98.07542965922761,-0.0,98.04422433980875,-0.03120531941885929,-0.03120531941885929
Catamarca,F,242.14915357936943,-0.0,242.147175413166,-0.001978166203429055,-0.001978166203429055
Catamarca,G,718.6591031960438,-0.0,718.5532215375933,-0.10588165845047115,-0.10588165845047115
Catamarca,H,230.42616502026084,-0.0,230.4017957116595,-0.02436930860133657,-0.02436930860133657
Catamarca,I,426.7154435602401,-0.0,426.53853742533704,-0.1769061349030494,-0.1769061349030494
Catamarca,J,181.1266606966323,-0.0,181.10166166974048,-0.024999026891833864,-0.024999026891833864
Catamarca,K,400.4504053570579,-0.0,400.42837592486984,-0.02202943218804876,-0.02202943218804876
Catamarca,L,476.2095189518538,-0.0,476.1295830803471,-0.07993587150667736,-0.07993587150667736
Catamarca,M,218.46914332536576,-0.0,218.46910562352744,-3.770183832330076e-05,-3.770183832330076e-05
Catamarca,N,256.55259225700377,-0.0,256.54176893251605,-0.010823324487716945,-0.010823324487716945
Catamarca,O,145.44726229018548,-0.0,145.4342348552283,-0.013027434957166406,-0.013027434957166406
Catamarca,P,22.744917624820875,-0.0,22.74168607769707,-0.0032315471238035798,-0.0032315471238035798
Chaco,A,1460.7372466212548,-189.89584206076313,156.80504282677614,-1303.9322037944787,-1114.0363617337157
Chaco,B,16.46193209923192,-0.0,16.44842995279838,-0.013502146433538087,-0.013502146433538087
Chaco,C,143.3019717106034,-0.0,143.29478406589882,-0.007187644704572449,-0.007187644704572449
Chaco,D,2288.0793829166855,-0.0,2285.4211274903164,-2.6582554263691236,-2.6582554263691236
Chaco,E,239.0762796613581,-0.0,238.95724359237445,-0.1190360689836325,-0.1190360689836325
Chaco,F,644.0179805863703,-0.0,644.003793498183,-0.01418708818732739,-0.01418708818732739
Chaco,G,1958.8310872956617,-0.0,1958.1381919576027,-0.6928953380590883,-0.6928953380590883
Chaco,H,383.1092363184097,-0.0,383.0246311815279,-0.08460513688180527,-0.08460513688180527
Chaco,I,1332.730811497034,-0.0,1331.1440333518244,-1.5867781452095642,-1.5867781452095642
Chaco,J,470.8204482897665,-0.0,470.64395296445673,-0.17649532530975875,-0.17649532530975875
Chaco,K,1101.8106387188607,-0.0,1101.6664997680396,-0.14413895082111594,-0.14413895082111594
Chaco,L,1297.2531405705904,-0.0,1296.6581809780114,-0.5949595925790163,-0.5949595925790163
