region,sector,x_in,dir_losses,x_out,total_losses,ind_losses
Buenos_Aires,A,378803.4852087714,-0.0,378803.4852087537,-1.775333657860756e-08,-1.775333657860756e-08
Buenos_Aires,B,16578.682281459474,-0.0,16578.68228145948,7.275957614183426e-12,7.275957614183426e-12
Buenos_Aires,C,105897.33472556637,-0.0,105897.33472556631,-5.820766091346741e-11,-5.820766091346741e-11
Buenos_Aires,D,1914033.852327586,-0.0,1914033.852327586,0.0,0.0
Buenos_Aires,E,98468.17046632204,-0.0,98468.170466322,-4.3655745685100555e-11,-4.3655745685100555e-11
Buenos_Aires,F,330395.8263333345,-0.0,330395.8263333345,0.0,0.0
Buenos_Aires,G,697927.8573947758,-0.0,697927.857394776,1.1641532182693481e-10,1.1641532182693481e-10
Buenos_Aires,H,190260.9587198542,-0.0,190260.95871985424,2.9103830456733704e-11,2.9103830456733704e-11
Buenos_Aires,I,507516.5747544,-0.0,507516.5747544002,1.7462298274040222e-10,1.7462298274040222e-10
Buenos_Aires,J,186172.37993924884,-0.0,186172.37993924884,0.0,0.0
Buenos_Aires,K,463975.37132981594,-0.0,463975.3713298159,-5.820766091346741e-11,-5.820766091346741e-11
Buenos_Aires,L,393037.56120901165,-0.0,393037.5612090117,5.820766091346741e-11,5.820766091346741e-11
Buenos_Aires,M,263861.4475749449,-0.0,263861.4475749449,0.0,0.0
Buenos_Aires,N,276399.094963412,-0.0,276399.0949634119,-5.820766091346741e-11,-5.820766091346741e-11
Buenos_Aires,O,184098.70471419417,-0.0,184098.70471419414,-2.9103830456733704e-11,-2.9103830456733704e-11
Buenos_Aires,P,26508.895749985593,-0.0,26508.895749985593,0.0,0.0
Catamarca,A,135.6768617735386,-0.0,135.67686177353866,5.684341886080802e-14,5.684341886080802e-14
Catamarca,B,3.0874572253696355,-0.0,3.0874572253717205,2.084998840246044e-12,2.084998840246044e-12
Catamarca,C,2405.10439408533,-0.0,2405.1043940853306,4.547473508864641e-13,4.547473508864641e-13
