region,sector,x_in,dir_losses,x_out,total_losses,ind_losses
Buenos_Aires,A,521285.9378938404,-67767.17192619925,453518.76596762706,-67767.17192621337,-1.4115357771515846e-08
Buenos_Aires,B,7087.382645448995,-0.0,7063.007659639304,-24.37498580969168,-24.37498580969168
Buenos_Aires,C,126358.11344298713,-0.0,125883.85562717896,-474.2578158081742,-474.2578158081742
Buenos_Aires,D,2467569.678113234,-0.0,2455251.1134928185,-12318.56462041568,-12318.56462041568
Buenos_Aires,E,460530.9619652172,-0.0,459191.9696023322,-1338.9923628849792,-1338.9923628849792
Buenos_Aires,F,358699.48237850843,-0.0,358219.8463538794,-479.6360246290569,-479.6360246290569
Buenos_Aires,G,829059.5807585275,-0.0,827269.5588100106,-1790.021948516951,-1790.021948516951
Buenos_Aires,H,297035.01104544743,-0.0,296909.65827940765,-125.35276603978127,-125.35276603978127
Buenos_Aires,I,521463.73485889216,-0.0,520283.67696102825,-1180.0578978639096,-1180.0578978639096
Buenos_Aires,J,643667.1092243902,-0.0,641620.0176640496,-2047.0915603406029,-2047.0915603406029
Buenos_Aires,K,108306.5906382479,-0.0,108171.4123088097,-135.17832943820395,-135.17832943820395
Buenos_Aires,L,400815.36533561314,-0.0,400805.9275753117,-9.437760301458184,-9.437760301458184
Buenos_Aires,M,189002.20362313124,-0.0,188968.85606656352,-33.34755656772177,-33.34755656772177
Buenos_Aires,N,422081.2869163555,-0.0,422073.0115272044,-8.27538915106561,-8.27538915106561
Buenos_Aires,O,407598.10692369344,-0.0,407479.8387269376,-118.26819675584557,-118.26819675584557
Buenos_Aires,P,665847.2953858777,-0.0,665844.6660086658,-2.629377211909741,-2.629377211909741
Catamarca,A,163.43271722126534,50.664142338592264,129.92148657917835,-33.511230642086986,-84.17537298067924
Catamarca,B,1.113081057790163,-0.0,1.1130325274717723,-4.8530318390804794e-05,-4.8530318390804794e-05
Catamarca,C,3553.9611680918965,-0.0,3552.081177795418,-1.8799902964783541,-1.8799902964783541
Catamarca,D,1145.7784195264703,-0.0,1145.467489074813,-0.3109304516572138,-0.3109304516572138
Catamarca,E,172.43767606415872,-0.0,172.42296471541,-0.014711348748733144,-0.014711348748733144
Catamarca,F,287.67077789678245,-0.0,287.6540420281813,-0.016735868601131187,-0.016735868601131187
Catamarca,G,678.478739781322,-0.0,678.4212159536418,-0.057523827680256545,-0.057523827680256545
Catamarca,H,180.9263733281317,-0.0,180.92415385701295,-0.0022194711187353278,-0.0022194711187353278
Catamarca,I,414.0025297569595,-0.0,413.95751461621114,-0.04501514074837587,-0.04501514074837587
Catamarca,J,440.3972480806511,-0.0,440.3083503139157,-0.08889776673538563,-0.08889776673538563
Catamarca,K,66.34852090318779,-0.0,66.34599625876177,-0.0025246444260176304,-0.0025246444260176304
Catamarca,L,244.06439627749157,-0.0,244.0643406349531,-5.564253845591338e-05,-5.564253845591338e-05
Catamarca,M,121.57982323547077,-0.0,121.57949120452729,-0.00033203094348266404,-0.00033203094348266404
Catamarca,N,255.5086362521053,-0.0,255.50850053842404,-0.00013571368126008565,-0.00013571368126008565
Catamarca,O,237.96166909282303,-0.0,237.96027473293904,-0.0013943598839887272,-0.0013943598839887272
Catamarca,P,402.8323234752755,-0.0,402.8322855358496,-3.793942585161858e-05,-3.793942585161858e-05
Chaco,A,1160.1576036185186,-150.8204884704074,116.5530208286922,-1043.6045827898263,-892.7840943194188
Chaco,B,3.2895573841634267,-0.0,3.289467800169604,-8.958399382263948e-05,-8.958399382263948e-05
Chaco,C,66.57987046830087,-0.0,66.57649686707956,-0.0033736012213125832,-0.0033736012213125832
Chaco,D,2619.471986723839,-0.0,2617.963293638063,-1.5086930857760308,-1.5086930857760308
Chaco,E,540.5009142290683,-0.0,540.4065088986813,-0.0944053303869623,-0.0944053303869623
Chaco,F,610.1119057226283,-0.0,610.00731195864,-0.104593763988305,-0.104593763988305
Chaco,G,1382.9843382143351,-0.0,1382.7261534481415,-0.2581847661936081,-0.2581847661936081
Chaco,H,455.59767801116686,-0.0,455.58005194761245,-0.01762606355441676,-0.01762606355441676
Chaco,I,930.3058416041519,-0.0,930.1229581017394,-0.18288350241243734,-0.18288350241243734
Chaco,J,1063.1139999755726,-0.0,1062.7460981274485,-0.3679018481241201,-0.3679018481241201
Chaco,K,209.7300932785844,-0.0,209.71904111739875,-0.01105216118565977,-0.01105216118565977
Chaco,L,626.1619997246434,-0.0,626.1616793027146,-0.0003204219287908927,-0.0003204219287908927
Chaco,M,295.2598143532672,-0.0,295.2576933974319,-0.0021209558352666136,-0.0021209558352666136
Chaco,N,654.0411750860532,-0.0,654.0399697430865,-0.0012053429666138982,-0.0012053429666138982
Chaco,O,675.1828107731434,-0.0,675.1724102905818,-0.010400482561635727,-0.010400482561635727
Chaco,P,1028.1658770851186,-0.0,1028.1655607940831,-0.00031629103546038095,-0.00031629103546038095
Chubut,A,838.9470396677963,-0.0,145.80074439573687,-693.1462952720594,-693.1462952720594
Chubut,B,198.33952160659652,-0.0,198.25642865091626,-0.08309295568025732,-0.08309295568025732
Chubut,C,31710.43731971809,-0.0,31632.657531906258,-77.77978781183265,-77.77978781183265
Chubut,D,7901.995177954759,-0.0,7894.386716087202,-7.608461867556798,-7.608461867556798
Chubut,E,2384.173093895045,-0.0,2383.2450747488715,-0.928019146173483,-0.928019146173483
Chubut,F,2266.93754335333,-0.0,2266.3074598000853,-0.6300835532447309,-0.6300835532447309
Chubut,G,3726.677542343042,-0.0,3725.3913709974004,-1.2861713456418329,-1.2861713456418329
Chubut,H,1233.3503584947155,-0.0,1233.2741623218708,-0.07619617284467495,-0.07619617284467495
Chubut,I,2852.0820360566577,-0.0,2850.9030738881665,-1.1789621684911253,-1.1789621684911253
Chubut,J,3167.1031876742604,-0.0,3164.888730430984,-2.214457243276229,-2.214457243276229
Chubut,K,495.1609990168161,-0.0,495.0768291851725,-0.08416983164357816,-0.08416983164357816
Chubut,L,1663.3574136515701,-0.0,1663.354644037281,-0.0027696142890363262,-0.0027696142890363262
Chubut,M,801.1762662678509,-0.0,801.1628952880088,-0.013370979842079578,-0.013370979842079578
Chubut,N,1736.9040941127237,-0.0,1736.899559618343,-0.004534494380777687,-0.004534494380777687
Chubut,O,1610.1119883374654,-0.0,1610.0584309862627,-0.053557351202698555,-0.053557351202698555
Chubut,P,2742.120200858268,-0.0,2742.118814951474,-0.0013859067939847591,-0.0013859067939847591
Ciudad_de_Buenos_Aires,A,56083.32064013341,-0.0,14200.508107004225,-41882.81253312918,-41882.81253312918
Ciudad_de_Buenos_Aires,B,762.7012782268218,-0.0,761.3905195299124,-1.3107586969094882,-1.3107586969094882
Ciudad_de_Buenos_Aires,C,79253.75450254805,-0.0,78976.32147784061,-277.4330247074395,-277.4330247074395
Ciudad_de_Buenos_Aires,D,614305.7419801874,-0.0,612624.0717989737,-1681.6701812136453,-1681.6701812136453
Ciudad_de_Buenos_Aires,E,136482.40138887748,-0.0,136254.45538948645,-227.94599939102773,-227.94599939102773
Ciudad_de_Buenos_Aires,F,112842.24470559761,-0.0,112761.45772395293,-80.78698164467642,-80.78698164467642
Ciudad_de_Buenos_Aires,G,302744.1409972295,-0.0,302374.06119229743,-370.0798049320583,-370.0798049320583
Ciudad_de_Buenos_Aires,H,119070.80366376632,-0.0,119040.47409473095,-30.329569035369786,-30.329569035369786
Ciudad_de_Buenos_Aires,I,237404.19219916663,-0.0,237024.65727834965,-379.53492081697914,-379.53492081697914
Ciudad_de_Buenos_Aires,J,660169.336423568,-0.0,657847.1887380504,-2322.147685517557,-2322.147685517557
Ciudad_de_Buenos_Aires,K,81126.07586266985,-0.0,81032.84691351217,-93.2289491576812,-93.2289491576812
Ciudad_de_Buenos_Aires,L,129585.74520374475,-0.0,129584.18819731183,-1.5570064329222078,-1.5570064329222078
Ciudad_de_Buenos_Aires,M,60040.801377012736,-0.0,60036.37954997705,-4.421827035686874,-4.421827035686874
Ciudad_de_Buenos_Aires,N,134753.29070205308,-0.0,134751.9283696793,-1.3623323737701867,-1.3623323737701867
Ciudad_de_Buenos_Aires,O,180038.83511156187,-0.0,180008.15188147945,-30.68323008241714,-30.68323008241714
Ciudad_de_Buenos_Aires,P,211382.94219274007,-0.0,211382.5577397763,-0.3844529637717642,-0.3844529637717642
Cordoba,A,56797.86844700586,-13063.509742811346,43734.35870418446,-13063.5097428214,-1.0053554433397949e-08
Cordoba,B,117.53166207188006,-0.0,117.28602076169133,-0.2456413101887307,-0.2456413101887307
Cordoba,C,7675.3659192251325,-0.0,7654.372279646919,-20.993639578213333,-20.993639578213333
Cordoba,D,133810.81873768682,-0.0,133193.34246423937,-617.4762734474498,-617.4762734474498
Cordoba,E,23337.36176496777,-0.0,23283.704790092597,-53.65697487517173,-53.65697487517173
