,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,FinalD,Exports
A,45882.63506898609,0.7792480814586425,0.2750198360935197,237164.8569617407,1.8607947849430824,28.00534330081895,17.253398196589988,2668.60574668666,32.866006209472836,212.1164720901925,5.977858208170018,31.39230332860522,19.197152680082024,138.3637947844706,1090.7982394336482,1.3532781553636137,37278.69795812749,94757.09587267041
B,0.41007297090332745,83.02429512719497,0.00016634398523752216,2670.792803473511,0.0,0.00028426819240710567,0.0024487790333964825,5.358226800200749,0.010745091667579261,0.10243129428037595,0.0,0.07102597380409846,0.00021755079353305885,0.17840145060426185,0.796648506176255,0.0017797464001731323,312.628966403247,840.622802734375
C,2.345518941111973,0.0016222924280584804,6966.658105554266,170289.67214875366,21166.51193056749,7872.227336362578,200.12010428055254,90.6121786636811,8140.908019399592,43.2143329774655,6.739920398813556,17.74610353970936,1.732632709319448,16.63121486170111,39.43957655571194,11.505010104329925,7562.256064741064,20698.5008392334
D,50162.8962094747,787.8623883222831,4733.239421087986,412417.19954750914,31751.85822924675,73214.52223447846,31096.12799254743,25045.645821801892,73260.30038451626,28860.325203530436,996.0480082783824,7002.935508223281,1275.9361442048119,8369.324494488019,37528.529064062546,767.8623096308042,730617.0552503609,436091.13568115234
E,1957.9323323892738,4.079898458499458,2548.445808668815,69647.29205548635,37286.98905902315,1441.2794929583135,8891.124170686116,7332.6914906880675,5801.975631227719,3727.6307564302488,1583.1526702258166,4743.16998928988,3055.236398059568,5264.916361259318,6075.060270646618,562.95632680648,101487.22387695312,495.63272476196283
F,2897.7179964558172,0.004785160796141896,3502.244176604147,378.3652398980116,8105.999063959972,0.5667404749487848,3370.184676108371,732.2906244228251,2313.5924163234213,1007.1571456819091,817.9225667133192,2689.650906675614,634.664024667733,719.0143390856274,1363.6894343146294,9043.856901431946,308187.363341111,608.38623046875
G,5090.39334887523,237.6379167691982,6720.458142068015,95127.69617726514,2860.2865736728413,12218.631935505344,7534.6831411404155,14162.924680491327,13028.822551169018,13258.191164615253,1054.2952179264803,2906.8881431980435,1089.1843300922994,8910.03807964272,17199.393152347136,552.415512464255,389932.14513843507,10339.861083984375
H,449.91693115122433,10.235996423174143,340.77552060582195,2447.6402056444417,99.04937401165353,130.5855373313063,2047.0138202533308,809.283630992861,723.8443820677427,5822.525978161395,394.3335771911418,742.4722238790131,592.4734938014873,1651.5216912215337,4246.11651888077,1.1994686319241497,215494.55878043175,3533.212158203125
I,3974.265606140718,110.45881242091633,7676.722392653116,51015.39378711009,5853.645185919923,7767.858931494688,26653.267110585308,4772.16881034905,20399.240103050288,29648.38989147521,1441.7801883427724,12624.437035756417,4013.4760917681456,6217.57276599137,24358.645384196665,198.95603505477598,216256.62010133453,32242.611328125
J,10630.522198460978,152.1607039471537,13491.172974127201,78405.29402224107,8056.063052743065,18908.716866819588,46908.36206719808,9058.445213031944,25169.739259852628,82098.5191270063,12423.843024471662,28417.521405390966,5952.683331966052,17421.606133696885,14383.872146678126,10585.898793628909,275974.8250365659,32838.98095703125
K,231.27176950141552,6.646850353458525,1234.835501294765,6552.0061831878575,644.7146888851032,606.4592073433772,16690.84937007349,4767.5657221044185,3782.0497545953285,6149.217587020403,3883.1471206379665,1763.7150360165767,1096.3271038211258,6699.993383049838,4590.701092794284,3616.7574093098815,41913.671685516834,1049.23486328125
L,6.885440159974358,10.21581677957657,50.327372183087704,289.87994366217487,166.0981342279752,102.6422959278126,159.58012012336064,128.32650434419128,305.6005607219258,830.9803727229854,145.8682359352817,0.12367884689908835,6.787452429709429,20.5535168004684,1071.3852385757311,6.537636170210312,298478.4979801178,418.0287170410156
M,46.407373929355025,2.896649317957221,179.26871243318013,2567.1879332810167,256.52323164408534,119.36410892131262,369.9228389142848,22.959513616680457,985.3796250197679,423.05480410430476,1.7649770016309139,3.9493045788634538,10.1040364796323,34.32231709017377,124.22362424778399,0.20339491654677885,131704.5197982788,1256.6971435546875
N,27.704635550436876,1.9990309235920238,3.714158297891325,81.74470632689875,18.367040677332394,110.3449551146281,216.27433621007506,21.767847246944996,54.096160252971416,254.26133407811156,22.931004352926003,13.517945112886153,4.206950299829628,339.41783977066615,26.782327871426578,0.21175269154994736,305146.5277328491,13.425800323486328
O,242.94746640118956,20.32815852656223,657.7839822990261,5181.750602297721,209.20826496923934,316.4035516994788,2361.1290595210494,1532.092528226884,5166.418970055796,3941.7815799952855,1513.5334586554368,912.4759096356996,1163.4589368667755,3308.5126137285306,25792.65899556894,58.28408878821931,269571.7601366043,16185.8955078125
P,8.073964516553138,0.4376790115216503,9.495643014922397,95.99037343219518,6.714740542492858,11.902419642159565,85.66498971711636,64.44489095675205,21.833507089463755,31.002063668091836,9.946995614656464,94.81981447290646,42.87294230691862,117.41999293353709,163.09216672065006,12.265499204210652,538046.191762507,0.0
ValueA,271323.3697077036,1994.1022767089307,187886.09708985686,675281.1115212366,107896.96212513,181144.56051540375,434296.4360562712,162424.1065705195,275064.3780089207,503128.91397009045,80478.22717735171,233217.28813877702,117855.11569007486,241522.52404725552,183979.62630552053,512928.51064020395,0.0,0.0
Imports,26339.73609955777,491.1421812913617,7822.4243826878455,144608.51836159363,37591.763531132725,42399.91116591619,21460.442854163215,5902.235652692474,23058.832621824207,11612.864577065093,533.49444005628,7017.23899753125,1297.2460796268265,5605.70654059702,16120.853658441081,473.5816921118858,0.0,0.0
