,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,FD,EXP
A,55724.48527837589,123.63613490720161,32.920434909086296,237774.31393821377,67.57734074285928,138.9293339183031,551.0670292847798,30457.512516304974,140.81718182599178,33.028428709797296,1082.9964363225977,3941.213651875598,631.5698169881417,1884.3547294373698,296.42662765744944,0.0,51697.63153363219,168745.7954465534
B,471.6983915143456,14.790924165823379,194.3469222046155,8818.520457704988,59.73020308089655,1187.1123201049227,441.9772316138881,396.8609157615715,755.5148918636114,70.66432472926908,257.86673885680153,213.58805511428938,59.75648131625881,338.8724853509384,177.35101274360537,0.0,4024.8636544860306,3376.2043875619515
C,37.39308833275234,5.139444013432195,18401.699066062494,123110.65200821908,16024.21060462209,52963.767700477314,382.04164417337034,367.64326293314787,382.8139359648505,95.85324831078393,7265.884154773638,1026.4906750326386,262.96108552739685,490.3790378559155,335.83915074710285,0.0,14568.725855533725,74013.24613521813
D,89907.73765689346,2316.7004023525224,35188.31851590058,756652.3750373597,15525.303952582359,192142.9318904688,72482.08621129642,70057.825878824,122330.68264760933,15143.097783971101,43463.180963695944,37269.974749480774,10279.898202087963,53302.65888448562,30381.61180574312,0.0,607232.8662824953,533118.6863888243
E,2059.2306457364925,8.953691307494466,5015.029429418181,29780.00806447025,20213.50596797365,3168.3550376052494,10810.822424727327,3981.4986388081525,8338.347788760628,1350.7683456659306,1489.5168125768373,5957.347027551749,4133.061419060631,2692.774083737843,1953.1033900866346,0.0,30515.20244711894,17218.734434741662
F,344.74727157460075,0.0,865.1070111408735,8776.022535621687,1775.846261823457,253.0101436668643,3657.1528951032496,3033.250835035118,3700.4958052100596,840.8148107676653,20297.39098285755,6132.098902446369,2852.711686122166,3902.7201703365517,2231.1731597956314,0.0,446321.08240983676,2089.6656055966996
G,12241.491551478393,829.4380391466401,7732.234264892902,53864.30374139648,4906.87399243183,15152.50260368667,54100.84252145108,7637.870947276131,91234.57393352632,41080.33341654441,29672.06203533832,34303.30668969245,8173.224750391673,22218.963185659915,35107.13113777326,0.0,678714.7804175738,40122.707702401385
H,2270.0959822529817,274.9401312495584,7871.905632779597,30028.271154487313,863.2719610913047,89.16188305086845,5804.7760000172575,5932.527274809501,8809.535591007607,6675.336083514283,4458.843918225616,19369.292268263864,3765.3859356832895,10224.469280015945,2787.4302208824583,0.0,184124.68167534246,44560.33835228939
I,30064.127871949335,967.675748744543,3133.7246875487767,24947.53712589011,6750.1946847601,3154.386345816685,27219.79994924674,1757.3626649984844,58940.32765676877,12459.628586846786,14792.399050200276,20932.087590622883,7391.543578893097,6623.279948477607,9355.992908206072,0.0,533892.991392208,37412.23524583634
J,4002.9793029598704,177.3504798796231,2937.1498492219125,13341.546344938106,1038.1716704014575,2528.8284507457915,15153.7726567953,1814.7222025658443,11001.59756734697,9065.972705839817,5797.576197725647,14819.8071159309,1852.7828465937662,10203.22028835328,4790.986893496488,0.0,239721.0193600299,2190.2464595063093
K,3106.1262695620962,408.01922665942374,5787.59774238308,27239.70219023636,2338.997027247804,9890.927846407825,56816.96924153291,12893.3366358645,47237.93443703785,17540.294867141005,25497.21497818048,17250.448711150053,6127.989059678185,8792.616008735211,17597.687285111002,0.0,516664.0543490522,15138.72850202526
L,9220.400850781136,392.69522658900183,4799.868043303338,18486.248296779322,2255.3044704300664,5161.173946372305,35847.84331339536,4150.620649763028,15183.39308144605,15678.585395907541,9787.14452870483,37549.92407725776,3489.8229427997358,3407.8670355986264,4475.779204810281,0.0,470964.63063245907,446.4394327875637
M,4.697482877544326,1.7461566652102096,2.6213149482707485,0.0,0.0,0.0,0.0,0.0,0.0,0.3478272318760114,1488.453040618528,1878.3635193333387,971.35470410678,543.2051700061168,107.68058390337815,0.0,398691.9404257139,0.0
N,1930.8735721417163,9.28807187128618,516.056059888851,769.7004091747832,148.35705908570074,0.0,1757.8450517866113,61.04387965036219,1727.1982788211424,8795.328936410853,5104.240621853519,2397.6987378761455,3310.7509163743666,56241.02636453285,12642.257293593486,0.0,369332.6175851628,41.67862927570415
O,2352.095105663748,152.49046708870387,1372.0570411836518,9485.386928325874,910.6785806539829,2668.2319558280906,9704.880578633809,1337.4255499986343,17708.562336482475,7543.384035650918,5321.976655330351,6649.59142906184,10339.813178602493,5898.170055091843,15687.74672408812,0.0,210743.68289318716,7475.781244462277
P,481.25418599796706,32.675131771541594,301.28354365308144,2092.4075429293716,193.66428069747334,592.5686922618291,2103.265873220286,287.4926563882766,3599.5656577932327,1625.104724842387,1159.2345495036225,1350.6253146771448,319.7879102309838,877.288033610888,1386.1973168928796,0.0,26577.03797305653,1560.720142727146
ValueA,331087.67069268075,12347.694738436261,194664.0033326273,863388.1220394928,70896.5803087578,215400.70079600892,810984.5984354529,119566.46006429238,346011.0725780041,199815.37865841424,587572.1885147527,426712.317111018,339727.94620300806,277144.074147576,170440.40909567798,43451.83586999636,0.0,0.0
Imports,8017.116659960042,2796.483249068776,20918.782560991804,478240.5555691455,4717.97875358579,2580.6585590736913,29272.79117861573,74176.77655984864,62692.83195219964,2623.7947328225378,25820.390788871115,3543.5198745300418,0.0,0.0,5597.139083958155,1088.3300297154005,0.0,0.0
