,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,FinalD,Exports
A,71079.7338319917,324.909594594254,0.7078350892574635,227007.19539578725,0.4146636791134378,35.77959283381485,0.5034868343627793,4154.053820095154,0.9400116415155655,17.577321976221405,0.0485707616971963,469.87597778374163,350.1098270224907,249.38683930120072,71.51365769830964,1004.6891686147148,46561.016566794555,57252.841621701125
B,308.3289798973744,14.795798387556975,7.087002770501102,4294.334084940347,6.1429932972354395,18.10225104691011,5.132125431303937,215.7024906397633,52.76372253055982,12.99796204698006,0.26585551915858646,20.514689268537172,38.58116518542202,13.889503050226947,3.8998273356477275,4.168147019534802,3688.180752918448,7184.934351162879
C,32.09275565599163,11.903329379023832,7520.211840994002,61764.8320205231,18916.5214656945,16567.419568677476,14.617451846986757,10.145452584569288,303.2784817705045,52.677821886487905,0.737514991493441,87.70007861862919,116.79458277718237,60.192176560102425,13.694969994571737,7.483673174744102,7602.109165049431,45864.58565283948
D,57188.78957139547,2419.06427525011,8204.19801533806,525003.4487015037,4683.742565864619,156149.5313796802,32720.930811312697,69933.48068273993,49562.020209284805,32452.030766839314,991.404081705467,18302.151507568993,6810.1625688548775,31996.669074505447,12435.689023845325,22856.455231176347,999995.4729987523,328802.450190101
E,1776.7604577969223,19.781775843914346,1941.8417592570793,24971.00630832754,31041.70548819966,2186.292326074485,6712.620010030876,5496.649469971513,3885.7440113819916,4053.970759795733,601.518438181735,7430.745064323784,1945.8207479433188,2320.585124165218,1719.0396419953893,2294.6516441515014,67219.77949766342,4639.073743877226
F,4382.71828970089,0.010291599905027577,2714.5350678433297,838.9626263920834,40.182124453699615,0.04007098028116496,25.27657296481591,9570.933590094117,1035.3173708591853,1298.3485146700389,26001.564167770954,5323.380693426185,1688.3683050970355,492.03811017980877,1303.9975880519573,1717.5406207385083,434797.42011848424,2175.480013461338
G,8284.514623164512,375.16469946169474,1247.7595896972182,87783.16081666388,853.8413573133678,26317.646072842508,3405.8005484705254,5710.427512154649,5517.842959657926,3697.850832984132,97.26816056844525,1625.9045619172657,610.0649472493707,3175.340121957258,1204.9790193510241,685.3796653685476,557667.9432559619,7636.787500759524
H,291.3012720123884,161.0435296520269,0.0444041620017572,1474.843874246218,2.0275044026936606,0.09169363624972995,816.9477310752767,31.137266203611652,1223.2689240114287,3019.7932061947245,0.00822993232327846,6047.035438787601,780.5079093858897,1752.0927803112065,582.7938959908446,141.76784257205904,208579.76822065018,25337.235271451922
I,5180.096189475536,1078.6073009292677,5464.562710466385,97950.7409047815,11330.863157753209,9133.965796753833,23714.78562599796,3414.3230327701312,36124.10684943413,23474.666389027265,682.7686017611984,13667.446706686467,2772.6956832430683,6327.222747284469,6137.210694534999,9938.230635606345,289711.6804093289,39123.47592916212
J,4291.3315278012815,781.3890195943806,7306.229495116469,87424.51439652214,6194.0022012192085,18314.62668102366,63368.20134140856,14088.729628722986,38032.75087268141,73381.94995828315,15103.766501222322,53032.74476973688,6064.2750031302285,14854.976617034627,14202.725347623384,10137.342935551358,145993.94370700882,35820.537033805005
K,126.87469280087109,68.56239574608924,472.99577097825545,6664.9659599865345,821.7750665123951,0.11417627400927492,33323.64831876262,10944.501222652269,12347.76387749391,9173.797337923044,2682.080260579744,4296.044313019804,1583.6756112754533,4645.8477818745405,1552.3522166706223,4740.810322233273,534661.9246089807,10078.891882771955
L,1179.0769721289641,39.70763168030538,122.53718606843509,2157.500312846337,597.372983870293,382.47517909818265,912.4554353810063,0.02871408916256426,2324.8671753486697,578.538093116013,0.005494924245791547,366.18900910702973,0.013309108314145647,342.1883103921163,450.37925989403334,256.24982282805354,505954.7102604002,328.19038215566763
M,31.108565915139295,5.063041881917952,447.82290597668606,1821.9443703461434,307.12908682517457,0.20172669805878826,85.823524210032,146.01404713623555,358.2297903513588,1222.0767689561558,34.91000735358327,1369.3467018096592,567.2365939076662,101.4541189101997,100.18298035447003,588.7137949434987,270570.4930845182,1669.370342278306
N,164.0047635443881,7.946301268399213,34.27112003320779,178.96546836636534,38.399171290539215,0.3433777531052771,19.589405090700915,94.44174586472388,69.86943965998083,22.887684148104853,0.010489395383710718,619.4698234107118,701.7278471745311,24165.338401297064,154.10118058710222,388.92608401278557,283965.9262473082,405.4728206326141
O,110.47368929207933,0.05282788519972874,0.1893301840917873,114.71775069694337,0.17541726759140586,189.86894050055508,0.2974098205535155,0.14247955809418916,127.13397383564107,4543.01162133732,123.07652828524654,0.077930751675544,0.04551599812688152,6584.644011035483,0.10411052920227279,0.03764855243815755,103156.93173860415,1166.806337606327
P,2169.187571149137,853.7025418390763,6921.05556735651,10819.325616471855,2879.230107260092,17.073620581645777,3687.2265349502895,869.2650495337772,17985.151536921017,15485.365744516246,383.87282903934465,11772.28543100147,841.8064157369911,1623.673332600874,2395.743944477591,3919.69129549771,223155.73406710016,5684.495244054592
ValueA,235509.6171251612,8925.684235362827,110530.85580646631,816144.432127725,80647.41916905645,239133.4067422771,534256.1615886304,123748.99024869566,365890.8192602071,419657.1601876201,589937.670572158,377949.39026990323,251987.26334291746,208542.4803540367,72120.30403568491,248278.9603140976,0.0,0.0
Imports,16474.071251916313,802.3951225808432,6009.542070645757,404088.29611401475,11896.211741506046,24958.195943512987,12824.985206847761,1812.3588423706735,50383.751945562406,16247.222435018759,1542.6065272746605,13610.248902387446,2566.6480144991456,3782.8660637049197,1668.7408394605472,4501.547478696956,0.0,0.0
