,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,FinalD,Exports
A,247939.70668624472,1.6890107552586363e-05,650.0882738337556,591652.1556446126,768.3105430297553,1196.2360893613034,15561.106788794386,32950.82854609905,671.8224262660239,4934.2584297176045,961.3315002024027,3676.287388477237,2562.707005878193,1874.798713724596,2146.1327180177127,0.0,330637.64895244065,158069.3359881296
B,1.7754490976784846e-05,1.585951838830109e-05,1.6191555093514443e-05,1.5037370025767341e-05,2.1218537933013725e-05,1.3091433151072097e-05,1.588391096277731e-05,1.5371749386870547e-05,1.605164426559208e-05,1.715358454128263e-05,1.6176946677775985e-05,1.5662296596723947e-05,1.581036453535762e-05,1.6165321517411895e-05,1.5347916547581687e-05,1.6301980337356922e-05,1.2817980521465023e-05,1.4034339539866514e-05
C,13790.893979239352,1.443684997421096e-05,104052.16115770153,415001.01018993586,72997.7159435998,23340.781397187588,5543.601467575015,3228.1472636426247,6430.627353603271,3663.239754475314,4074.6298430548954,2840.058112732508,1764.4721266540757,2148.4222981683433,4220.681715512311,0.0,70353.1188948014,18738.953317058284
D,179295.45651760144,1.5255843025630637e-05,90018.6635416728,1362842.068355906,53894.92152375955,196601.30126014192,136653.5391179522,46849.99151336964,160369.7396835929,126008.87871445534,42100.79616750893,42754.6587977925,28458.257772844438,35300.0688257587,46594.28376356233,0.0,2208722.6290372317,477582.2188149279
E,13329.160669870947,2.0394848406816194e-05,18504.366812167795,66610.26640662465,50114.167731201494,1865.3375790595799,21762.091059640105,8120.527044241226,13314.036027623282,16890.55893002819,12993.58586376956,12175.371905345684,14968.151952689284,11019.772732095094,10892.819569389501,0.0,206182.52551016404,1034.1346457547922
F,456.0584291889932,1.4344450503842791e-05,619.4736683452949,769.8076794952638,564.2306931990603,2898.6282957759486,986.979432330053,145.9844224021949,977.076374117946,1148.1021454099764,5093.244193453184,1253.6971428428533,561.9896991016459,362.60179457879985,367.86563957275337,0.0,504317.2044610468,0.0
G,71099.77901344976,1.5369816651759642e-05,19426.201920347252,321997.46060332446,14811.790551706323,29742.609692261354,70565.14185749742,25874.7881374807,42390.12771010663,64956.32580071152,16310.812279911686,13642.601690891983,10094.252543196913,12526.675413227262,17546.871696131184,0.0,652303.0590850982,114653.66512867938
H,1099.50235537661,1.6180399572207452e-05,1025.8394809666775,6090.6219143122225,1088.8866867531858,885.5232497943515,6593.9307410745905,2134.423864305566,4462.572454876377,18442.18307571853,1810.5162578182499,4432.62659793094,4768.102255652467,7655.767405595584,4608.2808446944655,0.0,312783.4144666255,654.3459623347861
I,13203.082932280076,1.6142747458562657e-05,15529.776689350881,89167.67870373809,5779.483422290181,10432.321037438976,43990.35658796962,4567.145505778864,90037.12809902085,42104.60634931566,3278.3496555585534,11687.08280871915,6731.583013186822,5206.049336285611,8574.920803955722,0.0,696700.1150374284,83018.55164086727
J,28105.502262704966,1.6215039325388438e-05,26574.96976474539,134640.30441822583,17021.26255183202,17075.11980119696,135176.71074934714,19477.255284458555,75535.44132920267,320882.60259517794,72605.4630647539,38228.78131254778,27625.615166197702,25874.11060354976,39432.34881733756,0.0,473544.99974760116,66537.49591919254
K,4386.5063084475305,1.6204820734089868e-05,6778.112332879506,18408.53344755044,2339.328093277555,3612.983787936117,40290.340466554764,8695.080617842726,16581.54211045977,33783.41204834538,8028.213133738603,5983.635709157225,7025.634094323095,6428.526146911005,8540.460773786943,0.0,601026.7393305791,5787.584877519136
L,90.56904330526608,1.6854672262791463e-05,92.92073557089269,409.1119537298912,96.9648273170495,62.60802781908444,298.78653900097504,35.93985275540829,339.47118792354405,528.6682178111778,135.81694661515024,407.8043421085892,176.4255580642653,120.25764759649208,137.0121345893242,0.0,414688.2018703316,0.0
M,26.28656903680085,1.677210754931982e-05,80.47927653412084,200.37340369149288,31.415294471998873,16.613689223739385,169.65882759700867,9.753762792493035,147.68501206388282,575.0581903130476,22.24014170627258,283.2364863258216,740.7015500383901,140.18315917630846,129.84853672929245,0.0,411550.66685666743,0.0
N,1941.2483032809816,1.6737982251111295e-05,182.8459931741463,9247.620794154194,1339.151609574858,630.0356775270519,7228.518624548465,916.6105495145841,5998.719590227676,22262.153273464035,705.1146107514417,3486.142471576201,604.0370281617638,15852.824661482704,8361.429599746974,0.0,263355.8069062594,0.0
O,1324.6173532534372,1.638834175472126e-05,2400.963070249446,5828.5961871972395,833.1900390275252,639.8723593633046,5009.414752154254,1985.5385591799447,4100.275233196436,10330.454935507189,715.4599702391436,2515.0780995488867,2207.202857010552,4678.886096865389,12023.224125594475,0.0,311360.6170409555,1482.1354412219005
P,0.0,1.636369511520003e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99247.86640831076,0.0
ValueA,811960.254750473,1.2866488343530939e-05,407188.0968749658,1682285.0100036063,240745.00130593387,231143.65545974483,926162.5377681926,216326.7367755665,582133.1696252226,763162.155442466,606405.4335259766,273133.55161224934,303218.51571737527,212458.81708587785,199452.09368833457,99247.73143149701,561208.6519350521,14625.00839716966
Imports,8203.176646339365,1.2653488305172934e-05,59062.93940747029,528894.6974094614,17350.708832292756,379.15264559482284,81948.36308447432,7217.5538984155755,126518.13607168366,88664.47025210108,2454.863449949516,1119.6537186187745,2616.1998036889036,464.30902020009984,4407.086239075074,0.0,12881.68077226481,0.0
