,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,FinalD,Exports
A,82236.05574539816,1.5959401483609195,0.47728918450412733,412505.99108046154,4.3002138939176895,42.08734436905869,38.376447268174644,5427.114019048459,62.46179165776482,460.2288381749877,12.561404590907522,66.13721502127679,42.39729972634008,302.91361419114435,2142.861576089806,2.777459232629675,70939.72821338488,176246.00432830086
B,0.9051949892630504,209.41757765369405,0.000355542688813758,5721.200897758982,0.0,0.0005261456288819008,0.006708212254924712,13.420623634921249,0.025150388927204524,0.273715360076811,0.0,0.18429221679548574,0.000591737545919909,0.48101850666114204,1.9274517335561143,0.004498687446526716,732.6981178038502,1925.6430234772733
C,3.9317646145970886,0.003107453542458015,11307.76350439741,277014.74018778186,45748.35877717548,11064.782839990943,416.3086999399932,172.34780092173332,14470.21543895866,87.69238699002916,13.245916307201792,34.967161310990264,3.5788420554881184,34.05296620530164,72.46304462877819,22.084230476053158,13459.062464514935,36006.51377271331
D,87699.16354454376,1573.9471822294101,8012.627899938206,699706.0374146608,71574.71910003044,107326.45455896162,67467.61597881484,49683.90141607442,135811.05632879402,61080.07773708072,2041.605342539693,14391.357959262501,2748.7120490669827,17872.51468178781,71913.45582020446,1537.2443310009114,1356180.5722806605,791195.3470916457
E,4672.146302388031,11.124872643863032,5888.406892055928,161283.14927208985,114723.8540014381,2883.7902227603972,26330.04685567627,19854.217590425953,14680.749890630783,10768.052253997095,4429.148354655626,13304.429165778018,8983.612954046721,15345.90974416658,15889.312815659132,1538.2968862780574,257125.40740730488,1227.361076848467
F,4311.625320904298,0.008135951850933276,5045.8573833509945,546.3389091397435,15551.386043086783,0.7070755624943472,6223.21487042179,1236.3430106560234,3650.2728791967543,1814.12683074239,1426.8415918737571,4704.241537788862,1163.633551851261,1306.7871489529196,2224.0069501207586,15409.38403517022,486871.7629449923,939.4158628181973
G,10525.12694184302,561.4598098528583,13454.839887284543,190874.97048657757,7625.4100864066295,21183.381347076393,19333.79877315719,33227.64437274391,28565.03449190125,33185.30311238592,2555.7414132547246,7065.015529533174,2775.011851247426,22502.87291816677,38978.479366060936,1307.942242587749,856012.0991133559,22186.271394307874
H,841.6933746651672,21.881577862968133,617.29621737016,4443.602009878429,238.91915188290835,204.83933371545504,4752.460847187109,1717.8804470285688,1435.8873318813837,13186.16540877034,864.8962306475007,1632.7157558561537,1365.7712153639122,3773.8815227351524,8706.61314632809,2.569550562732574,428028.5571594555,6859.380675703937
I,7033.209056511185,223.369538052245,13154.55399871394,87612.0587751089,13356.746704707646,11526.426107182175,58536.03355382732,9582.593042542532,38279.319798882265,63516.018132603356,2991.3991497063566,26261.374900527237,8751.948964724208,13440.020239771286,47248.22959711941,403.18137059896645,406331.8953351421,59213.46341586521
J,20450.741141674407,334.49058626372334,25130.886994225224,146374.64164290027,19982.73674129925,30500.93929858814,111990.43265516196,19773.28032132058,51343.65167530538,191194.45327462198,28021.351781126785,64261.29145746606,14110.899233902719,40937.85200578647,30329.554818524397,23320.01855436781,563687.9929832702,65559.81844185144
K,415.2701347610087,13.638007180769362,2146.944591411027,11416.904763180295,1492.633889882937,913.074831172057,37193.12881427997,9713.49168106649,7200.935109859109,13366.369069409027,8174.676863528451,3722.5907470494303,2425.692159641402,14694.83984099178,9034.889812961408,7436.595448951725,79905.86316656027,1955.1244442644559
L,13.186276232796832,22.355814344590836,93.32507968712652,538.7343080293666,410.14070389729505,164.8213705327422,379.267343396424,278.8543563494985,620.5805953947292,1926.489913927573,327.5139974745965,0.27841632021791396,16.017130638507684,48.079396878674764,2248.909029552886,14.336987609664764,606901.7309076256,830.7879633128612
M,91.49686524429147,6.5259250281196115,342.2373264946426,4911.825036010718,652.1140859844876,197.3284406438766,905.1208469423348,51.3632520867712,2060.0434638670795,1009.7209450791584,4.079781893678136,9.152687844806126,24.547178740120835,82.65673160520775,268.44739004737056,0.45920437493252964,275698.729800797,2571.245039700435
N,54.98598540295619,4.533629456420621,7.137787827545355,157.44367308072705,47.00200843677033,183.63216540522401,532.6976239498946,49.0213944096854,113.8464767472255,610.8933601540161,53.35821857265545,31.536903581290048,10.288555632380538,822.8423650212321,58.26176834717774,0.4812549520523113,643017.6115866672,27.652434495957394
O,451.4472852582127,43.16379768689239,1183.5363992297357,9344.093643325512,501.24628457514467,492.9838855707873,5444.908659059532,3230.3551686029027,10179.767935889724,8866.918967600632,3297.3524546455765,1993.0806806813366,2663.9936740682433,7509.480154203728,52532.31702593593,124.019901950667,531843.5911574996,31212.24600538017
P,14.35803241838049,0.8893869486440352,16.350691560861822,165.6539433105316,15.396251141779697,17.747617222491314,189.05477945506092,130.0370757872571,41.17040872736553,66.73969374141151,20.73856458842724,198.20563391564622,93.94611831767685,255.05424185887608,317.8900717129303,24.976985566887993,1015880.2554224822,0.0
ValueA,445552.13540850865,3741.8441477225856,298751.17783164355,1076123.0493075848,228453.70292154825,249421.1784684612,885062.2015465256,302644.2466561858,478960.01893580117,1000175.2788546396,154941.73050722101,450174.477280112,238477.39756332312,484452.69218612416,331143.9526794245,964528.0630401506,0.0,0.0
Imports,86165.61812481683,1835.932716899829,24778.078009606594,459073.7591519092,158559.74762045496,116301.21110495702,87123.93234866174,21908.35360991027,79985.90983858229,45988.311296604916,2046.1202809899355,26983.461258329786,5229.165813376631,22399.346852250943,57802.469433570455,1774.0432134704722,0.0,0.0
